"site_ID","M_YEAR","total_abund","site_rel_SR","garden_long_grass_area","garden_ivy","garden_long_grass","garden_direction","garden_size","Urban_100m","Arable_100m","Woodland_100m","Grassland_100m","Urban_250m","Arable_250m","Woodland_250m","Grassland_250m","Urban_500m","Arable_500m","Woodland_500m","Grassland_500m","woodland_dist_m","grassland_dist_m","n_days"
222,2016,21.0241810117285,0.0967741935483871,0,2,2,1,1,1,0,0,0,1,0,0,0,0.714110841283414,0.200028228060143,0,0.0128529820165506,571.111141988589,397.443492052932,4
223,2017,161.629370430647,0.25,12,1,1,4,2,0.878816702626184,0,0,0.121183297373816,0.692844967324335,0,0.0367462485584574,0.270408784117208,0.596555694375884,0.0171193024610346,0.028277307870095,0.358047695292987,190.676701480091,43.8210234672255,11
223,2019,183.956964495688,0.25,12,1,1,4,2,0.878816702626184,0,0,0.121183297373816,0.692844967324335,0,0.0367462485584574,0.270408784117208,0.596555694375884,0.0171193024610346,0.028277307870095,0.358047695292987,190.676701480091,43.8210234672255,13
223,2021,35.5128509287708,0.214285714285714,12,1,1,4,2,0.878816702626184,0,0,0.121183297373816,0.692844967324335,0,0.0367462485584574,0.270408784117208,0.596555694375884,0.0171193024610346,0.028277307870095,0.358047695292987,190.676701480091,43.8210234672255,4
224,2016,6.99251800573386,0.0645161290322581,0,1,2,3,3,1,0,0,0,0.9990615480224,0,0,0.000938451977599935,0.92717157345406,0,0,0.0728284265459403,898.275567990173,241.215240816367,3
224,2017,19.0582952702723,0.0967741935483871,0,1,2,3,3,1,0,0,0,0.9990615480224,0,0,0.000938451977599935,0.92717157345406,0,0,0.0728284265459403,898.275567990173,241.215240816367,5
224,2018,13.1869311085521,0.129032258064516,0,1,2,3,3,1,0,0,0,0.9990615480224,0,0,0.000938451977599935,0.92717157345406,0,0,0.0728284265459403,898.275567990173,241.215240816367,3
224,2019,32.3752525658766,0.193548387096774,0,1,2,3,3,1,0,0,0,0.9990615480224,0,0,0.000938451977599935,0.92717157345406,0,0,0.0728284265459403,898.275567990173,241.215240816367,7
224,2021,40.0670680365335,0.193548387096774,0,1,2,3,3,1,0,0,0,0.9990615480224,0,0,0.000938451977599935,0.92717157345406,0,0,0.0728284265459403,898.275567990173,241.215240816367,6
225,2017,68.0869298334319,0.1875,2,1,1,5,2,0.738031068593143,0,0,0.261968931406857,0.517841088991497,0,0,0.482158911008503,0.321967411618987,0,0.00762221636607121,0.670410372014942,387.202407324045,29.8320595221679,7
226,2019,148.008265324356,0.25,0,1,2,5,4,0.103922435979131,0.0000241106283550861,0,0.896053453392514,0.139159346096189,0.159397118495588,0,0.701443535408224,0.0501589182228332,0.347613966149495,0.0141391876053065,0.588087928022366,259.630192794163,0,23
