"site_ID","M_YEAR","total_abund","site_rel_SR","garden_long_grass_area","garden_ivy","garden_long_grass","garden_direction","garden_size","Urban_100m","Arable_100m","Woodland_100m","Grassland_100m","Urban_250m","Arable_250m","Woodland_250m","Grassland_250m","Urban_500m","Arable_500m","Woodland_500m","Grassland_500m","woodland_dist_m","grassland_dist_m","n_days"
719,2019,13.7841521549099,0.3,0,2,2,4,2,1,0,0,0,1,0,0,0,1,0,0,0,1333.47997248908,1006.7296377355,68
720,2020,6.65970435483558,0.2,0,2,2,5,3,0.889745376519068,0,0,0.110254623480932,0.91490189727575,0,0,0.0850981027242503,0.960700681235263,0,0,0.0392993187647365,1333.98100592492,49.7933241146545,106
721,2017,1.30130390651433,0.1,0,1,2,7,1,1,0,0,0,1,0,0,0,0.985126680730748,0,0,0.0148733192692522,2003.81650351905,381.92125559596,27
721,2018,7.56459960824654,0.2,0,1,2,6,1,1,0,0,0,1,0,0,0,0.985126680730748,0,0,0.0148733192692522,2003.81650351905,381.92125559596,31
721,2019,14.0757509999648,0.1,0,1,2,6,1,1,0,0,0,1,0,0,0,0.985126680730748,0,0,0.0148733192692522,2003.81650351905,381.92125559596,28
721,2020,3.1192373625541,0.3,0,1,2,6,1,1,0,0,0,1,0,0,0,0.985126680730748,0,0,0.0148733192692522,2003.81650351905,381.92125559596,47
722,2016,15.453591544068,0.6,10,1,1,4,3,0.607079958253953,0.227390463992354,0,0.165529577753693,0.699576368200349,0.102440677206678,0,0.197982954592973,0.657957840422751,0.0900144518586265,0.0132452702647639,0.238782437453859,395.788077190673,18.0849955451254,99
723,2016,5.99915306828846,0.3,0,1,2,3,3,1,0,0,0,0.94441596414967,0,0,0.05558403585033,0.795451370140695,0,0,0.204548629859305,760.698131434757,175.184513740022,66
723,2017,13.4987476525004,0.3,0,1,2,3,3,1,0,0,0,0.94441596414967,0,0,0.05558403585033,0.795451370140695,0,0,0.204548629859305,760.698131434757,175.184513740022,56
723,2018,18.9588927431887,0.5,0,1,2,3,3,1,0,0,0,0.94441596414967,0,0,0.05558403585033,0.795451370140695,0,0,0.204548629859305,760.698131434757,175.184513740022,47
723,2019,11.8829704849419,0.4,0,1,2,3,3,1,0,0,0,0.94441596414967,0,0,0.05558403585033,0.795451370140695,0,0,0.204548629859305,760.698131434757,175.184513740022,56
723,2020,14.7959919347588,0.5,0,1,2,3,3,1,0,0,0,0.94441596414967,0,0,0.05558403585033,0.795451370140695,0,0,0.204548629859305,760.698131434757,175.184513740022,82
723,2021,15.1416002365747,0.4,0,1,2,3,3,1,0,0,0,0.94441596414967,0,0,0.05558403585033,0.795451370140695,0,0,0.204548629859305,760.698131434757,175.184513740022,68
724,2018,34.3682028930849,0.4,0,2,2,5,2,0.716320976134959,0,0.283679023865041,0,0.952512643790886,0,0.0474873562091135,0,0.918346818484236,0,0.0118718390522711,0.0697813424634932,13.1209026684166,250.275685232288,106
724,2019,26.7522477614659,0.7,0,2,2,5,2,0.716320976134959,0,0.283679023865041,0,0.952512643790886,0,0.0474873562091135,0,0.918346818484236,0,0.0118718390522711,0.0697813424634932,13.1209026684166,250.275685232288,110
724,2020,20.0103924791202,0.5,0,2,2,5,2,0.716320976134959,0,0.283679023865041,0,0.952512643790886,0,0.0474873562091135,0,0.918346818484236,0,0.0118718390522711,0.0697813424634932,13.1209026684166,250.275685232288,123
724,2021,18.1086541749827,0.2,0,2,2,5,2,0.716320976134959,0,0.283679023865041,0,0.952512643790886,0,0.0474873562091135,0,0.918346818484236,0,0.0118718390522711,0.0697813424634932,13.1209026684166,250.275685232288,52
725,2017,14.1933618334251,0.4,0,1,2,3,2,1,0,0,0,1,0,0,0,0.956719397242202,0,0.00899183525914499,0.0342887674986532,433.212243960907,415.142362237374,28
725,2018,11.1523952770208,0.4,0,1,2,3,2,1,0,0,0,1,0,0,0,0.956719397242202,0,0.00899183525914499,0.0342887674986532,433.212243960907,415.142362237374,34
725,2018,11.1523952770208,0.4,0,1,2,3,1,1,0,0,0,1,0,0,0,0.956719397242202,0,0.00899183525914499,0.0342887674986532,433.212243960907,415.142362237374,34
725,2019,10.868298531535,0.4,0,1,2,3,1,1,0,0,0,1,0,0,0,0.956719397242202,0,0.00899183525914499,0.0342887674986532,433.212243960907,415.142362237374,53
725,2020,10.1992918129165,0.4,0,1,2,3,1,1,0,0,0,1,0,0,0,0.956719397242202,0,0.00899183525914499,0.0342887674986532,433.212243960907,415.142362237374,40
726,2020,6.66666875016467,0.4,0,1,2,3,1,1,0,0,0,0.989904652450536,0,0,0.0100953475494644,0.886741863481518,0,0.0187108765188318,0.0945472599996504,313.187563748656,201.328194004662,27
727,2016,19.7908481479357,0.5,2,1,1,2,2,1,0,0,0,1,0,0,0,0.996545794770639,0,0.00345420522936075,0,461.683437009903,521.705625326657,34
727,2017,39.2790762557633,0.5,2,1,1,2,2,1,0,0,0,1,0,0,0,0.996545794770639,0,0.00345420522936075,0,461.683437009903,521.705625326657,33
728,2020,20.3091966673676,0.3,7,1,1,3,2,1,0,0,0,0.90553268888749,0,0,0.0944673111125099,0.811080797775633,0,0.0261936022447598,0.162725599979607,330.336522972934,160.547629273503,22
729,2018,12.6561070523351,0.4,0,2,2,1,1,1,0,0,0,1,0,0,0,0.878648453743208,0,0,0.00457890021447544,724.454444395457,435.709072209427,12
730,2016,207.031462432529,0.6,1000,1,1,3,4,0.936322347660384,0,0,0.063677652339616,0.600665045275293,0,0.0545929271908129,0.344742027533894,0.310000148593962,0,0.119787072763083,0.570212778642955,184.09251073446,79.9718371353306,9
730,2018,274.819218154911,0.5,1000,1,1,3,4,0.936322347660384,0,0,0.063677652339616,0.600665045275293,0,0.0545929271908129,0.344742027533894,0.310000148593962,0,0.119787072763083,0.570212778642955,184.09251073446,79.9718371353306,9
730,2019,274.92872007241,0.6,1000,1,1,3,4,0.936322347660384,0,0,0.063677652339616,0.600665045275293,0,0.0545929271908129,0.344742027533894,0.310000148593962,0,0.119787072763083,0.570212778642955,184.09251073446,79.9718371353306,8
731,2017,3.95835807307129,0.1,0,1,2,3,2,1,0,0,0,0.956816057902688,0,0,0.0431839420973121,0.789491637859471,0.0452942008817994,0,0.116863077946786,1272.97801303432,189.073915166981,8
732,2016,13.4632752769187,0.3,0,1,2,2,2,1,0,0,0,1,0,0,0,0.958687706483158,0,0.00804617341524193,0.0332661201016006,357.955776372558,313.357427947623,14
732,2018,16.96971750641,0.2,0,1,2,2,2,1,0,0,0,1,0,0,0,0.958687706483158,0,0.00804617341524193,0.0332661201016006,357.955776372558,313.357427947623,18
732,2019,8.28835069598841,0.2,0,1,2,2,2,1,0,0,0,1,0,0,0,0.958687706483158,0,0.00804617341524193,0.0332661201016006,357.955776372558,313.357427947623,19
732,2020,6.815474685621,0.3,0,1,2,2,2,1,0,0,0,1,0,0,0,0.958687706483158,0,0.00804617341524193,0.0332661201016006,357.955776372558,313.357427947623,21
733,2017,26.5923774782007,0.4,0,1,2,5,2,1,0,0,0,0.957840101554159,0.0323747349870552,0,0.00978516345878562,0.78051617686398,0.148679621407901,0,0.0708042017281199,2273.2864693822,226.07120769029,48
733,2018,19.4312651837602,0.5,0,1,2,5,2,1,0,0,0,0.957840101554159,0.0323747349870552,0,0.00978516345878562,0.78051617686398,0.148679621407901,0,0.0708042017281199,2273.2864693822,226.07120769029,30
734,2016,22.1165322294832,0.4,3,1,1,7,3,1,0,0,0,1,0,0,0,0.969066823231907,0,0,0,731.518411766316,725.538925254122,33
734,2017,73.8278643988983,0.5,3,1,1,7,3,1,0,0,0,1,0,0,0,0.969066823231907,0,0,0,731.518411766316,725.538925254122,40
734,2018,65.0531948040824,0.5,3,1,1,7,3,1,0,0,0,1,0,0,0,0.969066823231907,0,0,0,731.518411766316,725.538925254122,25
734,2019,74.3353652315897,0.4,3,1,1,7,3,1,0,0,0,1,0,0,0,0.969066823231907,0,0,0,731.518411766316,725.538925254122,40
734,2020,48.1305022274282,0.5,3,1,1,7,3,1,0,0,0,1,0,0,0,0.969066823231907,0,0,0,731.518411766316,725.538925254122,60
734,2021,38.3178031040947,0.5,3,1,1,7,3,1,0,0,0,1,0,0,0,0.969066823231907,0,0,0,731.518411766316,725.538925254122,59
735,2017,4.63273563405925,0.4,0,1,2,5,2,1,0,0,0,1,0,0,0,0.932799712646187,0,0.0108965907788803,0.0563036965749332,339.071950504368,343.819288239239,27
735,2020,9.6961677527747,0.2,0,1,2,5,2,1,0,0,0,1,0,0,0,0.932799712646187,0,0.0108965907788803,0.0563036965749332,339.071950504368,343.819288239239,25
736,2017,6.10394334255606,0.2,0,1,2,7,2,1,0,0,0,1,0,0,0,0.818292859489519,0,0.124618619653741,0.0488819419286918,315.849345703324,323.005555607816,16
737,2016,14.9080806022144,0.3,6,1,1,5,4,1,0,0,0,0.766037798186276,0,0,0.233962201813724,0.403381798033875,0.020940910746511,0.058472624605569,0.517204666614045,268.333446399702,113.011987312391,24
737,2017,24.8767280302527,0.3,6,1,1,5,4,1,0,0,0,0.766037798186276,0,0,0.233962201813724,0.403381798033875,0.020940910746511,0.058472624605569,0.517204666614045,268.333446399702,113.011987312391,32
737,2019,16.2405868438607,0.4,6,1,1,5,4,1,0,0,0,0.766037798186276,0,0,0.233962201813724,0.403381798033875,0.020940910746511,0.058472624605569,0.517204666614045,268.333446399702,113.011987312391,27
738,2016,4.87432751711698,0.2,0,2,2,4,3,1,0,0,0,1,0,0,0,0.90179200769477,0,0,0.0982079923052299,919.477360962002,312.616391401084,14
739,2016,18.3858791978753,0.5,15,1,1,3,3,0.709188113831039,0,0.211468983926239,0.0793429022427221,0.452024348984646,0,0.38670421667862,0.161271434336734,0.323839054165429,0,0.327138429743679,0.349022516090892,27.3460868928971,60.0156397159023,24
739,2021,24.789479067738,0.4,15,1,1,3,3,0.709188113831039,0,0.211468983926239,0.0793429022427221,0.452024348984646,0,0.38670421667862,0.161271434336734,0.323839054165429,0,0.327138429743679,0.349022516090892,27.3460868928971,60.0156397159023,13
740,2016,5.38094786732482,0.3,0,1,2,6,2,0.969735352656084,0,0.0302646473439165,0,0.770599676908495,0,0.221612325409251,0.00778799768225397,0.511963984939313,0.0748069949689063,0.310149138303944,0.103079881787837,74.0699490624547,212.3531834142,45
740,2017,15.1370203023996,0.5,0,1,2,6,2,0.969735352656084,0,0.0302646473439165,0,0.770599676908495,0,0.221612325409251,0.00778799768225397,0.511963984939313,0.0748069949689063,0.310149138303944,0.103079881787837,74.0699490624547,212.3531834142,80
740,2018,16.7733722480435,0.5,0,1,2,6,2,0.969735352656084,0,0.0302646473439165,0,0.770599676908495,0,0.221612325409251,0.00778799768225397,0.511963984939313,0.0748069949689063,0.310149138303944,0.103079881787837,74.0699490624547,212.3531834142,85
740,2019,10.9619130108773,0.4,0,1,2,6,2,0.969735352656084,0,0.0302646473439165,0,0.770599676908495,0,0.221612325409251,0.00778799768225397,0.511963984939313,0.0748069949689063,0.310149138303944,0.103079881787837,74.0699490624547,212.3531834142,80
740,2021,9.33438848577431,0.4,0,1,2,6,2,0.969735352656084,0,0.0302646473439165,0,0.770599676908495,0,0.221612325409251,0.00778799768225397,0.511963984939313,0.0748069949689063,0.310149138303944,0.103079881787837,74.0699490624547,212.3531834142,82
741,2019,14.6489183567957,0.5,0,1,2,6,4,0.282393273092538,0,0,0.717606726907462,0.162980989534505,0,0,0.837019010465495,0.20542758086298,0,0.0152882122261251,0.779284206910895,393.204344658701,32.8932839535157,57
741,2020,13.8299736317419,0.4,0,1,2,6,4,0.282393273092538,0,0,0.717606726907462,0.162980989534505,0,0,0.837019010465495,0.20542758086298,0,0.0152882122261251,0.779284206910895,393.204344658701,32.8932839535157,72
741,2021,15.3639089789674,0.3,0,1,2,6,4,0.282393273092538,0,0,0.717606726907462,0.162980989534505,0,0,0.837019010465495,0.20542758086298,0,0.0152882122261251,0.779284206910895,393.204344658701,32.8932839535157,65
742,2017,19.0819105515154,0.3,NA,1,NA,2,NA,1,0,0,0,1,0,0,0,0.914307408022189,0,0,0.0856925919778109,956.086829117485,340.253464952409,40
