"site_ID","M_YEAR","total_abund","site_rel_SR","garden_long_grass_area","garden_ivy","garden_long_grass","garden_direction","garden_size","Urban_100m","Arable_100m","Woodland_100m","Grassland_100m","Urban_250m","Arable_250m","Woodland_250m","Grassland_250m","Urban_500m","Arable_500m","Woodland_500m","Grassland_500m","n_days"
314,2017,56.927961664366,0.193548387096774,0,2,2,4,1,1,0,0,0,0.742202353839829,0.0173516275052532,0,0.240446018654918,0.376763429792422,0.164886460846924,0,0.458350109360654,17
314,2019,56.7994129539048,0.290322580645161,0,2,2,4,1,1,0,0,0,0.742202353839829,0.0173516275052532,0,0.240446018654918,0.376763429792422,0.164886460846924,0,0.458350109360654,22
315,2016,40.7141951418097,0.129032258064516,0,1,2,1,2,1,0,0,0,1,0,0,0,0.913818927006084,0,0,0.0861810729939156,15
315,2017,42.2811745268109,0.161290322580645,0,1,2,1,2,1,0,0,0,1,0,0,0,0.913818927006084,0,0,0.0861810729939156,21
315,2018,78.704912220061,0.225806451612903,0,1,2,1,2,1,0,0,0,1,0,0,0,0.913818927006084,0,0,0.0861810729939156,12
315,2019,41.726188954359,0.129032258064516,0,1,2,1,2,1,0,0,0,1,0,0,0,0.913818927006084,0,0,0.0861810729939156,25
315,2020,47.9954890562474,0.129032258064516,0,1,2,1,2,1,0,0,0,1,0,0,0,0.913818927006084,0,0,0.0861810729939156,12
316,2018,57.4844207269356,0.133333333333333,2,1,1,7,2,0.586794039327441,0.234323349298794,0,0.178882611373765,0.363708869428634,0.331861059195456,0.0419754736642163,0.262454597711693,0.184846397264399,0.561243179516428,0.0241169019932254,0.229793521225948,18
316,2021,66.726434616993,0.333333333333333,2,1,1,7,2,0.586794039327441,0.234323349298794,0,0.178882611373765,0.363708869428634,0.331861059195456,0.0419754736642163,0.262454597711693,0.184846397264399,0.561243179516428,0.0241169019932254,0.229793521225948,23
317,2018,93.6719823045199,0.266666666666667,2,1,1,NA,3,0.840248625407044,0,0,0.159751374592956,0.685241491357698,0.0431712355336205,0,0.271587273108681,0.539209325255066,0.189241425036205,0,0.271549249708729,10
318,2017,39.3551377564123,0.1,40,1,1,5,3,0.131660860828996,0.574028419345623,0,0.294310719825381,0.278895723249972,0.491420042645773,0,0.221039663944314,0.318096567734233,0.521859481959555,0,0.147168546445009,19
319,2018,40.3686987108263,0.161290322580645,0,1,2,6,3,0.385023350211007,0,0,0.614976649788994,0.557427929029026,0.231429584032523,0,0.211142486938451,0.377829978172857,0.404590115493928,0.0481036055728315,0.169476300760384,10
320,2016,64.1283869308689,0.193548387096774,0,2,2,5,3,0.751422932987532,0.248577067012468,0,0,0.56057667625427,0.43942332374573,0,0,0.30787362057751,0.563973145694011,0.114310783471043,0.0138424502574361,11
321,2021,22.3886774208263,0.2,80,1,1,3,4,0,0.561819232860336,0,0.438180767139664,0.0311215838893416,0.717766159870862,0,0.251112256239796,0.0212867588130798,0.783210432633309,0.0218136604256106,0.173689148128,11
322,2016,67.6990427871972,0.32258064516129,0,1,2,2,4,1,0,0,0,0.823504373112197,0,0.007822278445282,0.168673348442521,0.481770784518576,0.00853814819550454,0.0954201672166488,0.414270900069271,11
323,2017,116.641442780861,0.233333333333333,0,1,2,7,2,1,0,0,0,0.965340278688756,0,0.0346597213112441,0,0.956015360592392,0,0.0121022739564996,0.0318823654511086,13
323,2018,79.3036645657037,0.2,0,1,2,7,2,1,0,0,0,0.965340278688756,0,0.0346597213112441,0,0.956015360592392,0,0.0121022739564996,0.0318823654511086,17
323,2019,89.0689550513535,0.233333333333333,0,1,2,7,2,1,0,0,0,0.965340278688756,0,0.0346597213112441,0,0.956015360592392,0,0.0121022739564996,0.0318823654511086,23
323,2020,63.7108542563804,0.3,0,1,2,7,2,1,0,0,0,0.965340278688756,0,0.0346597213112441,0,0.956015360592392,0,0.0121022739564996,0.0318823654511086,26
323,2021,107.91066505899,0.266666666666667,0,1,2,7,2,1,0,0,0,0.965340278688756,0,0.0346597213112441,0,0.956015360592392,0,0.0121022739564996,0.0318823654511086,26
324,2016,75.4087726885857,0.2,50,2,1,6,3,0.902556110135058,0.0974438898649422,0,0,0.263372568218353,0.685537132344222,0,0.0510902994374252,0.118675413236997,0.802407074911324,0.0227592359753589,0.05615827587632,18
324,2017,78.2403724541485,0.233333333333333,50,2,1,6,3,0.902556110135058,0.0974438898649422,0,0,0.263372568218353,0.685537132344222,0,0.0510902994374252,0.118675413236997,0.802407074911324,0.0227592359753589,0.05615827587632,26
325,2020,18.1106012210681,0.0666666666666667,0,1,2,NA,2,0.640917225553686,0.00188758107946031,0.357195193366854,0,0.571981480753444,0.186940790575251,0.177775467044848,0.063302261626457,0.489940814107724,0.355884983065762,0.0689875825698031,0.0851866202567116,10
325,2021,31.4631873573759,0.133333333333333,0,1,2,NA,2,0.640917225553686,0.00188758107946031,0.357195193366854,0,0.571981480753444,0.186940790575251,0.177775467044848,0.063302261626457,0.489940814107724,0.355884983065762,0.0689875825698031,0.0851866202567116,11
326,2016,119.890705076783,0.3,0,1,2,6,3,0.314053150751826,0.621512052142368,0,0.0644347971058066,0.10078288664915,0.83178179920846,0,0.0674353141423897,0.0450142888649875,0.862229071849636,0,0.0587487896805139,30
327,2021,50.4190706539093,0.133333333333333,0,NA,NA,NA,NA,1,0,0,0,0.945777972715048,0.00304207247543988,0,0.0511799548095124,0.853700589663294,0.00928655142180322,0.00470578297411658,0.132307075940786,12
328,2016,35.7403658639728,0.233333333333333,0,1,2,6,1,0.0320251939144132,0.676665332424529,0,0.291309473661058,0.102142499892457,0.652152083685949,0.0340261889579582,0.211679227463636,0.0881328485863227,0.606331969774231,0.0226301167293228,0.282905064910123,14
328,2017,58.266334990711,0.3,0,1,2,6,1,0.0320251939144132,0.676665332424529,0,0.291309473661058,0.102142499892457,0.652152083685949,0.0340261889579582,0.211679227463636,0.0881328485863227,0.606331969774231,0.0226301167293228,0.282905064910123,25
328,2018,97.0906062737139,0.233333333333333,0,1,2,6,1,0.0320251939144132,0.676665332424529,0,0.291309473661058,0.102142499892457,0.652152083685949,0.0340261889579582,0.211679227463636,0.0881328485863227,0.606331969774231,0.0226301167293228,0.282905064910123,33
328,2019,60.8065735754855,0.266666666666667,0,1,2,6,1,0.0320251939144132,0.676665332424529,0,0.291309473661058,0.102142499892457,0.652152083685949,0.0340261889579582,0.211679227463636,0.0881328485863227,0.606331969774231,0.0226301167293228,0.282905064910123,32
328,2020,45.0049754897768,0.166666666666667,0,1,2,6,1,0.0320251939144132,0.676665332424529,0,0.291309473661058,0.102142499892457,0.652152083685949,0.0340261889579582,0.211679227463636,0.0881328485863227,0.606331969774231,0.0226301167293228,0.282905064910123,25
328,2021,145.932176691894,0.366666666666667,0,1,2,6,1,0.0320251939144132,0.676665332424529,0,0.291309473661058,0.102142499892457,0.652152083685949,0.0340261889579582,0.211679227463636,0.0881328485863227,0.606331969774231,0.0226301167293228,0.282905064910123,43
329,2017,155.967765063135,0.266666666666667,0,2,2,8,3,1,0,0,0,0.782231282295739,0.0340620500718791,0.143880086125638,0.0398265815067436,0.476766488746897,0.103343122312319,0.270076490690732,0.149813898250053,15
329,2018,78.8303250773241,0.266666666666667,0,2,2,8,3,1,0,0,0,0.782231282295739,0.0340620500718791,0.143880086125638,0.0398265815067436,0.476766488746897,0.103343122312319,0.270076490690732,0.149813898250053,13
329,2019,80.1692671314796,0.233333333333333,0,2,2,8,3,1,0,0,0,0.782231282295739,0.0340620500718791,0.143880086125638,0.0398265815067436,0.476766488746897,0.103343122312319,0.270076490690732,0.149813898250053,12
330,2017,106.845518864675,0.321428571428571,3,1,1,5,4,0.795280974832835,0.204719025167165,0,0,0.49055324017857,0.386417957198144,0.042625563799632,0.0804032388236543,0.271315752413577,0.631707095183084,0.022909021920405,0.0740681304829341,12
330,2018,193.164409574406,0.5,3,1,1,5,4,0.795280974832835,0.204719025167165,0,0,0.49055324017857,0.386417957198144,0.042625563799632,0.0804032388236543,0.271315752413577,0.631707095183084,0.022909021920405,0.0740681304829341,22
330,2019,194.116528047173,0.357142857142857,3,1,1,5,4,0.795280974832835,0.204719025167165,0,0,0.49055324017857,0.386417957198144,0.042625563799632,0.0804032388236543,0.271315752413577,0.631707095183084,0.022909021920405,0.0740681304829341,13
330,2020,109.814488229253,0.357142857142857,3,1,1,5,4,0.795280974832835,0.204719025167165,0,0,0.49055324017857,0.386417957198144,0.042625563799632,0.0804032388236543,0.271315752413577,0.631707095183084,0.022909021920405,0.0740681304829341,17
330,2021,218.653852441368,0.428571428571429,3,1,1,5,4,0.795280974832835,0.204719025167165,0,0,0.49055324017857,0.386417957198144,0.042625563799632,0.0804032388236543,0.271315752413577,0.631707095183084,0.022909021920405,0.0740681304829341,36
331,2016,46.1915122297773,0.357142857142857,500,1,1,6,4,0.197483398513717,0.714003775469958,0.0885128260163249,0,0.085418298639594,0.410743850424446,0.427527864369177,0.0763099865667833,0.0504511996763424,0.446827288660855,0.434475015320165,0.0682464963426379,12
332,2016,105.337569752911,0.241379310344828,0,2,2,3,3,0.509180669998194,0,0,0.490819330001806,0.371310301929812,0,0.0387972181562031,0.589892479913985,0.189006724059028,0.274645269174243,0.0112508584355667,0.525097148331163,16
333,2016,103.177218399286,0.285714285714286,400,1,1,5,4,0.00186695066784727,0.681427910513072,0.0954752221064855,0.221229916712595,0.134436528641063,0.530815277081212,0.0637010551054734,0.271047139172252,0.0859229902756406,0.598029597210622,0.0222121932770215,0.293835219236716,30
333,2017,47.5503084122387,0.214285714285714,400,1,1,5,4,0.00186695066784727,0.681427910513072,0.0954752221064855,0.221229916712595,0.134436528641063,0.530815277081212,0.0637010551054734,0.271047139172252,0.0859229902756406,0.598029597210622,0.0222121932770215,0.293835219236716,25
333,2018,127.686918954046,0.464285714285714,400,1,1,5,4,0.00186695066784727,0.681427910513072,0.0954752221064855,0.221229916712595,0.134436528641063,0.530815277081212,0.0637010551054734,0.271047139172252,0.0859229902756406,0.598029597210622,0.0222121932770215,0.293835219236716,31
333,2019,94.2510844296665,0.285714285714286,400,1,1,5,4,0.00186695066784727,0.681427910513072,0.0954752221064855,0.221229916712595,0.134436528641063,0.530815277081212,0.0637010551054734,0.271047139172252,0.0859229902756406,0.598029597210622,0.0222121932770215,0.293835219236716,26
333,2020,68.6426752291811,0.25,400,1,1,5,4,0.00186695066784727,0.681427910513072,0.0954752221064855,0.221229916712595,0.134436528641063,0.530815277081212,0.0637010551054734,0.271047139172252,0.0859229902756406,0.598029597210622,0.0222121932770215,0.293835219236716,25
333,2021,45.5314717459324,0.285714285714286,4000,1,1,5,4,0.00186695066784727,0.681427910513072,0.0954752221064855,0.221229916712595,0.134436528641063,0.530815277081212,0.0637010551054734,0.271047139172252,0.0859229902756406,0.598029597210622,0.0222121932770215,0.293835219236716,19
334,2019,459.610961668177,0.321428571428571,5,2,1,1,2,0,1,0,0,0.00404628579414888,0.975354483895894,0,0.020599230309957,0.0319282000426339,0.944964350263214,0.0150608228035866,0.00804662689056601,17
