"site_ID","M_YEAR","SITE_ID","SPECIES","TOTAL_NM","SINDEX","garden_long_grass_area","garden_ivy","garden_long_grass","garden_direction","garden_size","Urban_100m","Arable_100m","Woodland_100m","Grassland_100m","Urban_250m","Arable_250m","Woodland_250m","Grassland_250m","Urban_500m","Arable_500m","Woodland_500m","Grassland_500m","woodland_dist_m","grassland_dist_m","n_days"
464,2021,614,"Holly Blue",0.3284,1.15861429730043,0,1,2,4,3,0.854259159122703,0,0.145740840877297,0,0.67409240382426,0.0548619778134681,0.271045618362272,0,0.605422537663673,0.181118150941189,0.121533148881549,0.0919261625135886,67.3088097471633,258.281152484029,114
465,2017,617,"Holly Blue",0.15213,21.5633423180593,0,1,2,5,2,1,0,0,0,0.723420565300737,0,0,0.276579434699263,0.485215413841299,0.000820511800436003,0.0614261308772317,0.434140239976922,296.195350252624,103.379236986488,14
466,2019,618,"Holly Blue",0.13211,11.2264945270839,2,1,1,5,2,0.99797059161949,0,0,0.00202940838051017,0.814440314228329,0,0,0.185559685771671,0.527754993674935,0,0.0619141487128406,0.399501302440111,335.837341224777,97.7564885039526,25
467,2017,619,"Holly Blue",0.14227,12.4575664144009,0,1,2,6,2,1,0,0,0,1,0,0,0,0.99512825224757,0,0,0.00487174775242973,1545.76714914882,438.99867489849,47
468,2016,620,"Holly Blue",0.16104,4.41598586884522,200,1,1,5,4,0.75066522496738,0,0.00139005142523489,0.247944723607386,0.227343862385635,0.0835741560326193,0.106133635667435,0.582948345914311,0.0726009545102647,0.297002944790271,0.0672441128627647,0.5631519878367,97.9279372594898,31.4977979625176,14
468,2019,620,"Holly Blue",0.14643,9.79479896175131,200,1,1,5,4,0.75066522496738,0,0.00139005142523489,0.247944723607386,0.227343862385635,0.0835741560326193,0.106133635667435,0.582948345914311,0.0726009545102647,0.297002944790271,0.0672441128627647,0.5631519878367,97.9279372594898,31.4977979625176,26
469,2016,621,"Holly Blue",0.22298,7.6860012297602,NA,2,NA,6,1,0.904266020673881,0.0957339793261187,0,0,0.558680873819075,0.318611449767235,0,0.122707676413689,0.45930359298088,0.400240101313236,0.0152062468068881,0.125250058898996,393.911779110328,167.978186371561,21
469,2017,621,"Holly Blue",0.20687,2.58004592481746,NA,2,NA,6,1,0.904266020673881,0.0957339793261187,0,0,0.558680873819075,0.318611449767235,0,0.122707676413689,0.45930359298088,0.400240101313236,0.0152062468068881,0.125250058898996,393.911779110328,167.978186371561,26
469,2018,621,"Holly Blue",0.2739,7.90357636830666,NA,2,NA,6,1,0.904266020673881,0.0957339793261187,0,0,0.558680873819075,0.318611449767235,0,0.122707676413689,0.45930359298088,0.400240101313236,0.0152062468068881,0.125250058898996,393.911779110328,167.978186371561,25
469,2020,621,"Holly Blue",0.16302,18.5384301657336,NA,2,NA,6,1,0.904266020673881,0.0957339793261187,0,0,0.558680873819075,0.318611449767235,0,0.122707676413689,0.45930359298088,0.400240101313236,0.0152062468068881,0.125250058898996,393.911779110328,167.978186371561,26
470,2018,622,"Holly Blue",0.46173,2.15438309240149,0,2,2,NA,1,1,0,0,0,0.877780875651634,0,0,0.122219124348366,0.79002186941538,0.00951895301205875,0.0246930133232865,0.175766164249275,361.136149192053,126.997930609708,46
471,2020,624,"Holly Blue",0.33593,1.18563484817946,0,2,2,4,3,1,0,0,0,0.943855286940764,0,0,0.056144713059236,0.850335563230943,0,0.0335177536572882,0.116146683111769,380.922225020948,156.126711029413,107
472,2016,625,"Holly Blue",0.35398,17.474879860201,10,1,1,5,3,0.516470807058469,0,0.000572641775404982,0.482956551166126,0.494846308928583,0.076715570500209,0.0486420711420172,0.379796049429191,0.225655419907007,0.364906310410156,0.0404884165565935,0.368949853126243,99.0080219774166,0,98
472,2017,625,"Holly Blue",0.24349,0.880149977556176,10,1,1,5,3,0.516470807058469,0,0.000572641775404982,0.482956551166126,0.494846308928583,0.076715570500209,0.0486420711420172,0.379796049429191,0.225655419907007,0.364906310410156,0.0404884165565935,0.368949853126243,99.0080219774166,0,136
472,2018,625,"Holly Blue",0.46587,16.8903658138996,10,1,1,5,3,0.516470807058469,0,0.000572641775404982,0.482956551166126,0.494846308928583,0.076715570500209,0.0486420711420172,0.379796049429191,0.225655419907007,0.364906310410156,0.0404884165565935,0.368949853126243,99.0080219774166,0,126
472,2019,625,"Holly Blue",0.24773,18.7637570815141,10,1,1,5,3,0.516470807058469,0,0.000572641775404982,0.482956551166126,0.494846308928583,0.076715570500209,0.0486420711420172,0.379796049429191,0.225655419907007,0.364906310410156,0.0404884165565935,0.368949853126243,99.0080219774166,0,155
472,2020,625,"Holly Blue",0.33965,5.63076273373531,10,1,1,5,3,0.516470807058469,0,0.000572641775404982,0.482956551166126,0.494846308928583,0.076715570500209,0.0486420711420172,0.379796049429191,0.225655419907007,0.364906310410156,0.0404884165565935,0.368949853126243,99.0080219774166,0,171
472,2021,625,"Holly Blue",0.33385,3.26840109818277,10,1,1,5,3,0.516470807058469,0,0.000572641775404982,0.482956551166126,0.494846308928583,0.076715570500209,0.0486420711420172,0.379796049429191,0.225655419907007,0.364906310410156,0.0404884165565935,0.368949853126243,99.0080219774166,0,165
473,2018,627,"Holly Blue",0.46148,4.37407051001662,0,2,2,5,2,1,0,0,0,0.601029237821589,0.199859711260138,0,0.199111050918273,0.383659139898271,0.365795669012704,0,0.250545191089026,669.992777627762,112.702880135581,45
473,2021,627,"Holly Blue",0.32653,0.717010353629507,0,2,2,5,2,1,0,0,0,0.601029237821589,0.199859711260138,0,0.199111050918273,0.383659139898271,0.365795669012704,0,0.250545191089026,669.992777627762,112.702880135581,65
474,2020,628,"Holly Blue",0.18329,8.8438181710984,2,1,1,5,1,1,0,0,0,0.818887670514815,0,0,0.181112329485185,0.692420646912322,0.0270677858800147,0.00305076556706016,0.277460801640603,460.32079812863,141.004564705162,22
475,2020,630,"Holly Blue",0.33196,1.98082560811346,0,1,2,2,2,1,0,0,0,1,0,0,0,0.802446940344015,0.0130590960394091,0.0283680716899322,0.156125891926643,325.625253510368,270.93173328638,56
476,2020,631,"Holly Blue",0.30922,1.06407316567087,0,2,2,7,1,0.940730109804227,0,0,0.0592698901957728,0.80368678770401,0,0.101149579676373,0.095163632619617,0.626093021499257,0.156868661334477,0.0457642275466079,0.171274089619658,118.993086751413,75.8212289932162,103
